Date,Team A,Team B,Goals A,Goals B,Winner,Result,Goal Diff
2025-05-11,Sanjoanense Dynamo,Lions of Porto Salvo,4,0,Sanjoanense Dynamo,1,4
2025-05-03,Sanjoanense Dynamo,AD Fundao,2,4,AD Fundao,-1,-2
2025-04-27,Sanjoanense Dynamo,Benifica,4,5,Benifica,-1,-1
2025-04-19,Sanjoanense Dynamo,ADCR Caxinas Poca Barca,0,1,ADCR Caxinas Poca Barca,-1,-1
2025-04-05,Sanjoanense Dynamo,Electric,2,2,DRAW,0,0
2025-03-22,Sanjoanense Dynamo,Lusitania of the Azores,4,4,DRAW,0,0
2025-03-15,Sanjoanense Dynamo,Sporting,0,5,Sporting,-1,-5
2025-03-01,Sanjoanense Dynamo,SC Braga,1,9,SC Braga,-1,-8
2025-02-15,Sanjoanense Dynamo,Torreense,2,1,Sanjoanense Dynamo,1,1
2025-01-19,Sanjoanense Dynamo,Ferreira do Zezere,2,3,Ferreira do Zezere,-1,-1
2025-01-15,Sanjoanense Dynamo,Quinta dos Lombos,1,5,Quinta dos Lombos,-1,-4
2025-01-11,Sanjoanense Dynamo,Lions of Porto Salvo,1,5,Lions or Porto Salvo,-1,-4
2025-01-04,Sanjoanense Dynamo,AD Fundao,2,4,AD Fundao,-1,-2
2024-12-07,Sanjoanense Dynamo,Benifica,0,10,Benifica,-1,-10
2024-11-30,Sanjoanense Dynamo,ADCR Caxinas Poca Barca,1,3,ADCR Caxinas Poca Barca,-1,-2
2024-11-24,Sanjoanense Dynamo,Electric,1,2,Electric,-1,-1
2024-11-17,Sanjoanense Dynamo,Lusitania of the Azores,1,1,DRAW,0,0
2024-11-09,Sanjoanense Dynamo,Sporting,2,7,Sporting,-1,-5
2024-11-01,Sanjoanense Dynamo,SC Braga,3,8,SC Braga,-1,-5
2024-10-25,Sanjoanense Dynamo,Torreense,3,3,DRAW,0,0
2024-10-19,Sanjoanense Dynamo,Ferreira do Zezere,4,2,Sanjoanense Dynamo,1,2
2024-10-12,Sanjoanense Dynamo,Quinta dos Lombos,2,5,Quinta dos Lombos,-1,-3
2025-05-11,Lusitania of the Azores,ADCR Caxinas Poca Barca,0,5,ADCR Caxinas Poca Barca,-1,-5
2025-05-04,Lusitania of the Azores,Electric,2,6,Electric,-1,-4
2025-04-26,Lusitania of the Azores,Torreense,4,3,Lusitania of the Azores,1,1
2025-04-19,Lusitania of the Azores,Sporting,2,8,Sporting,-1,-6
2025-04-04,Lusitania of the Azores,SC Braga,0,8,SC Braga,-1,-8
2025-03-16,Lusitania of the Azores,Ferreira do Zezere,0,4,Ferreira do Zezere,-1,-4
2025-03-08,Lusitania of the Azores,Quinta dos Lombos,1,4,Quinta dos Lombos,-1,-3
2025-02-16,Lusitania of the Azores,Lions of Porto Salvo,1,4,Lions or Porto Salvo,-1,-3
2025-02-01,Lusitania of the Azores,AD Fundao,3,4,AD Fundao,-1,-1
2025-01-16,Lusitania of the Azores,Benifica,2,4,Benifica,-1,-2
2025-01-11,Lusitania of the Azores,ADCR Caxinas Poca Barca,3,4,ADCR Caxinas Poca Barca,-1,-1
2025-01-07,Lusitania of the Azores,SC Braga,0,3,SC Braga,-1,-3
2025-01-03,Lusitania of the Azores,Electric,7,4,Lusitania of the Azores,1,3
2024-12-07,Lusitania of the Azores,Torreense,2,4,Torreense,-1,-2
2024-12-04,Lusitania of the Azores,Sporting,1,6,Sporting,-1,-5
2024-11-09,Lusitania of the Azores,Ferreira do Zezere,4,3,Lusitania of the Azores,1,1
2024-11-02,Lusitania of the Azores,Quinta dos Lombos,2,2,DRAW,0,0
2024-10-26,Lusitania of the Azores,Lions of Porto Salvo,1,5,Lions or Porto Salvo,-1,-4
2024-10-19,Lusitania of the Azores,AD Fundao,2,3,AD Fundao,-1,-1
2024-10-13,Lusitania of the Azores,Benifica,3,6,Benifica,-1,-3
2025-05-11,Torreense,Electric,1,4,Electric,-1,-3
2025-05-03,Torreense,Quinta dos Lombos,10,3,Torreense,1,7
2025-04-19,Torreense,Lions of Porto Salvo,4,3,Torreense,1,1
2025-04-05,Torreense,Sporting,3,6,Sporting,-1,-3
2025-03-22,Torreense,AD Fundao,8,0,Torreense,1,8
2025-03-16,Torreense,SC Braga,0,3,SC Braga,-1,-3
2025-03-01,Torreense,Benifica,1,3,Benifica,-1,-2
2025-01-19,Torreense,ADCR Caxinas Poca Barca,1,6,ADCR Caxinas Poca Barca,-1,-5
2025-01-15,Torreense,Ferreira do Zezere,2,4,Ferreira do Zezere,-1,-2
2025-01-11,Torreense,Electric,1,1,DRAW,0,0
2025-01-04,Torreense,Quinta dos Lombos,2,6,Quinta dos Lombos,-1,-4
2024-12-02,Torreense,Lions of Porto Salvo,2,6,Lions or Porto Salvo,-1,-4
2024-11-21,Torreense,Sporting,0,7,Sporting,-1,-7
